Title,Name of BCI,Type of Media (tentative),Author,Image,Cover,Level of invasiveness,Utopia/Dystopia in the media,Category of BCI,Form-factor,Near Future,Date,Description,Utopia/Dystopia - tech-wise,Quotes,Keywords,Link,years since publication,Property,Notes,BCI forecast,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,Year,prediction,reality factor,BCIF: communication,NF: communication,TO: communication,neurafictionality,reality factor check,techno-optimism,important
Star Trek,Psi-wave transceiver,TV Series,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Psi-wave_device-2.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Star_Trek_TNG_Calendar_1993.jpg,Invasive,Dystopia,"control of the user, memory, telepathy",implant,50,"Jan 1, 1993","Psi-wave transceiver were transceiver implants used by the Prytt for interrogation purposes. They were connected directly to the brain stem of an individual and slowly adapted to their psi-wave patterns, eventually allowing the Prytt direct access to the individual's memory engrams. The devices could also be calibrated to connect two individuals, making them unable to move too far from one another without causing both to experience nausea. While the main purpose of this was to keep prisoners from wandering very far from one another, it also had the side effect of allowing them to read one another's thoughts.",dystopia,,prison,,28,,"Star Trek has a lot of prisoners, and dystopian future; also a lot of BCI types",78,,0.358974358974,,0.358974358974,,,,,0.358974358974,0.358974358974,,,,,,,,,,0.358974358974,,,,1993,2071,0.358974358974,78,0.157303370787,0.438202247191,0.157303370787,0.358974358975,0.438202247191,
,,,,,,,,,,,,,,,,,2021,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,0.930907415937,1,0.930907415937,
X-Men,Cerebro,"Movie, comics",,"website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Emma_Frost_using_Cerebro.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Cerebro_(Marvel_Comics_device).png, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Cerebro_film.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Cerebro-Xavier.png, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/cerebro.png, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/602e5c0f1e4132201a82926b3be01120.jpg",website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/clean.jpg,Non-invasive,Utopia,"manipulation, reading thoughts, telepathy",helmet,100,"Jan 1, 1964","Vast telepathic abilities:
•	Mind reading
•	Mind control
•	Memory manipulation
•	Astral projection
Psychic attack capabilities",dystopia,,,,57,,,157,,0.363057324841,,,,,,,,0.363057324841,,0.363057324841,,,,,0.363057324841,,,0.363057324841,,,,1964,2121,0.363057324841,157,0.275362318841,0.75845410628,0.275362318841,0.363057324841,0.75845410628,yes
Star Trek,Thought Maker,"Movie, TV Series, comics, game",,"website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Thought_maker_prop.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Thought_maker_display.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Thought_maker.jpg",website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/star_trek_2009_poster.jpg,non-contact,Dystopia,manipulation,tool,20,"Jan 1, 2008","A thought maker was a device designed to control the neural activity or ""brainwash"" the humanoid brain, making the subject highly susceptible to suggestion.",dystopia,,suggestions,,13,,,33,,,,,,,,,,0.393939393939,,,,,,,0.393939393939,,,,,,,2008,2041,0.393939393939,,,,0.079754601227,0.39393939394,0.20245398773,
Star Trek,Neural neutralizer,"Movie, TV Series, comics, game",,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Neural_neutralizer_controls.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/8IQ.jpg,Non-invasive,Dystopia,"emotions, manipulation, reading thoughts",tool,20,"Jan 1, 1966","The neural neutralizer was essentially a beam emitter, a round orange lens that was located in a treatment room, above a chair in which the patient sat. A windowed alcove, connected to the room, housed a control panel, which was used for manually operating the device, and space for the therapist, who could view the patient through the window.
The neural neutralizer was somewhat effective as a means of implanting suggestions. It created in the patient a profound sense of loneliness, also described as an ""emptiness"". Anything said to the patient while he was in this state would become his own thoughts. The effectiveness varied according to the complexity of the suggestion, the number of times it had been repeated, the volume of the beam, the strength of the patient's will, and the degree to which the suggestion was opposed by his own desires. Long term or repeated exposure could produce profound mental illness and synaptic damage. Additionally, the ""emptying"" effect could be immediately lethal",dystopia,,suggestions,,55,,,75,,0.733333333333,,,,0.733333333333,,,,0.733333333333,,0.733333333333,,,,,0.733333333333,,,,,,,1966,2041,0.733333333333,75,0.268292682927,0.365853658537,0.268292682927,0.733333333333,0.365853658537,yes
" Star Trek",Neurogenic field,"Movie, TV Series, comics, game",,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Starfleet-Synaptic-Transceiver.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BNWEzZDI0NjEtY2FkMC00ZjQwLWI2YzgtZDEyMzMwZmRlZDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI._V1_.jpg,N/A,Dystopia,manipulation,N/A,0,"Jan 1, 1998","A neurogenic field is an energy form produced by certain lifeforms, capable of inducing extremely realistic illusions in the minds of others.",dystopia,,simulations,,23,,,23,,,,,,,,,,1,,,,,,,1,,,,,,,1998,2021,1,,,,0.132947976879,1,0.132947976879,
Avatar,"Avatar Control Link ","Movie, Novel, game",,"website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/avatar-in-queue-600x600.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Abb.2.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/46b4c0b8427499d1536e457a3f966b52.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Avatar_compound.png, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Asset_Sheet_1.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/CQKSxyDUcAApc9Y.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Screen_Shot_2021-04-04_at_4.29.08_PM.png",website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw._V1_UX182_CR00182268_AL_.jpg,Non-invasive,Utopia,"consciousness transfer, linking",MRI,125,"Jan 1, 2009","Avatar Control Link, Bed Unit, Link Unit. An avatar driver uses a whole-body remote neural interface to control and animate the avatar body. These link units are located in a dedicated facility, such as that installed at the Hell's Gate base on Pandora. The link beds outwardly resemble MRI scanners, with the operator reclining inside an enclosed capsule. The capsule incorporates neural collection and feedback loops for control transmission and reception of sensory information from the avatar body. The link capsule also continuously monitors operator vital signs and avatar operational parameters. In the event of an abnormality, the link is discontinued immediately or referred to a BioLab technician for further analysis.
To initiate the link, the operator clears his or her mind and enters a transit state of consciousness while the link is established. Once operator-avatar connection quality stabilizes above 99%, the link is set to active; the operator then immediately 'wakes up' inside the avatar body. The operator's own neurotransmitters then cause atonia, disconnecting the operator's natural body from the movements played out by the avatar. Continuous link times vary by individual operator; a new operator may tire and prematurely disconnect from the avatar after only a few minutes, while an experienced driver is capable of several hours or even days link time. Upon disconnection, either by emergency fail-safe or the operator's conscious command, the avatar reverts to a static sleep state, while the operator's consciousness is awakened safely in his or her own body. Disorientation is common upon return, although experience reduces downtime. Emergency disconnections are dangerous, potentially resulting in shock to the human operator and damage to the avatar itself. Catastrophic damage to the avatar, resulting in its biological death, has the same effect.
Avatar operations are limited by the need for the human operator to sleep, rest, and eat. Similarly, the avatar body must be maintained through periods of activity alternating with sleep/disconnection time as well as by consumption of fluids and foodstuffs.
The link machinery is small enough to allow for field operation where link transmission range may become an issue. Compact field bases feature a bank of three ruggedized link beds. Basic science/accommodation facilities are included with embedded power and air filtration, making them fully self-sufficient for short sorties into the Pandoran jungle. The field base can be air-lifted using a Samson air transport to reach remote locations. Although occasionally prone to 'glitches', transmission strength is strong enough to ensure link integrity even in extreme environments such as the flux vortices found in the Hallelujah Mountains of Pandora.
",utopia,,military,,12,,,137,,0.087591240876,0.087591240876,,,,,0.087591240876,,,,,,,,,,,,,,,0.087591240876,2009,2146,0.087591240876,137,0.074074074074,0.845679012346,0.074074074074,0.087591240876,0.845679012346,yes
Blade Runner: Do Androids Dream of Electric Sheep?,empathy box,"Movie, Novel, game",,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/DoAndroidsDream-2.png,N/A,Dystopia,manipulation,helmet,10,"Jan 1, 1968","The trend of increased empathy has coincidentally motivated a new technology-based religion called Mercerism, which uses ""empathy boxes"" to link users simultaneously to a virtual reality of collective suffering",dystopia,,"empathy, religion, suffering",,53,,,63,,,,,,,,,,0.84126984127,,,,,,,0.84126984127,,,,,,,1968,2031,0.84126984127,,,,0.261083743842,0.841269841269,0.310344827586,yes
Simpsons,Creativity Assessment System,sitcom,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/IMG_0989.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/The_Simpsons_(season_30).jpg,"Non-invasive, non-contact",Dystopia,emotions,tool,10,"Jan 1, 2018","System which reads brain activity and emotions of people on distance, no contact with the head or body of the person needed.","dystopia, utopia",,distance interfacing,,3,,,13,,,,,,0.230769230769,,,,0.230769230769,,,,,,,,,,,,,,2018,2031,0.230769230769,,,,0.019607843137,0.230769230767,0.084967320261,
Expanse,,TV Series,,"website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/IMG_1302_2.jpg, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/expanse_S02E02.png",website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Expanse_season_2_poster.jpg,Non-invasive,Dystopia,emotions,helmet,50,"Jan 1, 2017","Device to turn off the empathy.
Transcranial magnetic hyperstimulation is a procedure that can be used to inhibit empathy.
The procedure involves administering mind-altering drugs, then exposing parts of the brain to a strong electromagnetic field, producing electrical currents which impede the temporal parietal junction. The procedure be made temporary or permanent.",dystopia,,empathy,,4,,,54,,,,,,0.074074074074,,,,0.074074074074,,,,,,,,,,,,,,2017,2071,0.074074074074,,,,0.025974025974,0.074074074074,0.350649350649,
